fid,REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG
"60866",6094940991,"2024","6",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,15 bis 18 Uhr,"Bus, E-Scooter"
"63550",6094959064,"2024","11",Wed,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,18 bis 24 Uhr,"E-Scooter, Pkw"
"22679",6094679887,"2016","11",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"873","Fu�g�nger geht auf Fahrbahn - gleiche Richtung, rechte Fahrbahnseite",9 bis 12 Uhr,"Fussgaenger:in, Pkw"
"26794",6094712760,"2017","8",Thu,"91501",Wien,"1",Ortsgebiet,"3",D�mmerung,"891",Sonstige Fu�g�ngerunf�lle - Sonstige,18 bis 24 Uhr,"Fussgaenger:in, Sonstige"
"12132",6094626409,"2015","2",Mon,"91501",Wien,"1",Ortsgebiet,,,"123",Wechseln des Fahrstreifens mit und ohne Kollision - nach links,15 bis 18 Uhr,"Lkw, Schienenfahrzeug"
"115",6094532758,"2013","1",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"322",Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem,12 bis 15 Uhr,"Pkw, Pkw"
"36445",6094772745,"2019","6",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"322",Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem,6 bis 9 Uhr,"Motorrad, Pkw"
"5826",6094599798,"2014","1",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,9 bis 12 Uhr,"Pkw, Sonstige"
"7721",6094570892,"2014","5",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"61","Auffahren - auf Hindernisse oder Absicherungen (kein Fahrzeug, kein Wild)",12 bis 15 Uhr,Pkw
"1560",6094539638,"2013","4",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"322",Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem,12 bis 15 Uhr,"Motorrad, Pkw"
"25925",6094701180,"2017","6",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,18 bis 24 Uhr,"Motorfahrrad, Motorfahrrad, Pkw"
"4672",6094564194,"2013","10",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"814","Fahrzeug biegt nicht ab - nach Querstra�e, Fu�g�nger von links",18 bis 24 Uhr,"Fussgaenger:in, Pkw"
"38142",6094790653,"2019","10",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"411",Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,15 bis 18 Uhr,"Fahrrad, Pkw"
"26654",6094700498,"2017","8",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"51",Sturz vom oder im Fahrzeug - Sturz vom Fahrzeug,15 bis 18 Uhr,Sonstige
"3387",6094562003,"2013","8",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"991",Sonstige Unf�lle mit zwei oder mehreren Beteiligten,12 bis 15 Uhr,"Lkw, Motorrad"
"22292",6094675244,"2016","10",Mon,"91501",Wien,"1",Ortsgebiet,,,"711",Kollision mit haltenden oder parkenden Fahrzeugen - Fahrzeug h�lt oder parkt rechts,15 bis 18 Uhr,"Motorrad, Pkw"
"31750",6094734072,"2018","8",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"511",Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,9 bis 12 Uhr,"Fahrrad, Pkw"
"5893",6094568189,"2014","1",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"821",beim Rechtsabbiegen - Fg.: gleiche Ann�herungsrichtung,6 bis 9 Uhr,"Fussgaenger:in, Pkw"
"12064",6094613576,"2015","2",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw"
"8485",6094576046,"2014","6",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"122",Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts mit Abkommen rechts,18 bis 24 Uhr,"Bus, Sonstige"
"32635",6094737144,"2018","9",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,9 bis 12 Uhr,"Fahrrad, Pkw"
"30493",6094733475,"2018","5",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,15 bis 18 Uhr,"Motorrad, Pkw"
"8745",6094584659,"2014","7",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"411",Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,6 bis 9 Uhr,"Motorrad, Sonstige"
"8567",6094581341,"2014","6",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,15 bis 18 Uhr,"Sonstige, Sonstige"
"26980",6094713475,"2017","9",Mon,"91501",Wien,"1",Ortsgebiet,,,"511",Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,18 bis 24 Uhr,"Pkw, Sonstige"
"4602",6094568794,"2013","10",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"821",beim Rechtsabbiegen - Fg.: gleiche Ann�herungsrichtung,15 bis 18 Uhr,"Fussgaenger:in, Pkw"
"12011",6094620089,"2015","2",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"121",Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts,15 bis 18 Uhr,"Pkw, Sonstige"
"5507",6094560261,"2013","12",Sat,"91501",Wien,"1",Ortsgebiet,"3",D�mmerung,"151",Auffahren im Kreuzungsbereich - auf fahrendes Fahrzeug,15 bis 18 Uhr,"Pkw, Pkw"
"36367",6094772789,"2019","6",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,12 bis 15 Uhr,"Fahrrad, Pkw"
"36117",6094772716,"2019","6",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"112",Kollision beim �berholen - �berholen links,18 bis 24 Uhr,"Fahrrad, Pkw"
"41246",6094814379,"2020","7",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,12 bis 15 Uhr,"E-Bike, Pkw"
"41636",6094814202,"2020","8",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"181",Kollision durch Einordnen - von rechts,6 bis 9 Uhr,"Pkw, Schienenfahrzeug"
"43851",6094826113,"2021","3",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,6 bis 9 Uhr,"Fahrrad, Pkw"
"46195",6094846412,"2021","8",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,15 bis 18 Uhr,"Fahrrad, Pkw"
"54671",6094897510,"2023","4",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,6 bis 9 Uhr,"Pkw, Pkw, Pkw"
"57754",6094921941,"2023","10",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"181",Kollision durch Einordnen - von rechts,6 bis 9 Uhr,"Pkw, Schienenfahrzeug"
