REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG,geom,x,y
6097908325,2018,9,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,9 bis 12 Uhr,"Fahrrad, Pkw","c(16.3461538275154, 48.1971100978798)",16.346153827515394,48.197110097879765
6097911789,2018,12,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,51,Sturz vom oder im Fahrzeug - Sturz vom Fahrzeug,12 bis 15 Uhr,E-Bike,"c(16.3499174975237, 48.1982158078815)",16.349917497523734,48.19821580788151
6097917858,2019,3,Sun,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,15 bis 18 Uhr,"Fahrrad, Fussgaenger:in","c(16.3464031175159, 48.1971466778798)",16.346403117515948,48.19714667787982
6097914763,2019,3,Tue,90701,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,12 bis 15 Uhr,"Fahrrad, Pkw","c(16.3412637575046, 48.1961184278784)",16.341263757504557,48.196118427878375
6097918285,2019,4,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,9 bis 12 Uhr,"Fahrrad, Fussgaenger:in","c(16.3602822675467, 48.201560407887)",16.360282267546687,48.201560407886994
6097927654,2019,6,Wed,90701,Wien,1,Ortsgebiet,2,Tageslicht,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,15 bis 18 Uhr,"E-Bike, Fahrrad","c(16.350045687524, 48.1983035878817)",16.35004568752402,48.1983035878817
6097944237,2019,7,Tue,90601,Wien,1,Ortsgebiet,4,Dunkelheit,711,Kollision mit haltenden oder parkenden Fahrzeugen - Fahrzeug hält oder parkt rechts,18 bis 24 Uhr,E-Bike,"c(16.3445297675118, 48.1967675878793)",16.344529767511798,48.19676758787928
6097934203,2019,8,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,811,"Fahrzeug biegt nicht ab - vor Querstraße, Fußgänger von rechts",12 bis 15 Uhr,"Fahrrad, Fussgaenger:in","c(16.3462150975155, 48.1971187778798)",16.346215097515532,48.19711877787975
6097931947,2019,8,Thu,90601,Wien,1,Ortsgebiet,2,Tageslicht,622,Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,12 bis 15 Uhr,"Fahrrad, Fahrrad","c(16.3472636975179, 48.1973667378801)",16.34726369751786,48.19736673788013
6097937537,2019,9,Mon,90701,Wien,1,Ortsgebiet,3,Dämmerung,411,Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,15 bis 18 Uhr,"Fahrrad, Pkw","c(16.3417925075057, 48.1962847778786)",16.34179250750573,48.196284777878645
6097931917,2019,9,Sat,90601,Wien,1,Ortsgebiet,3,Dämmerung,881,Fußgänger neben der Fahrbahn - rechts neben der Fahrbahn,18 bis 24 Uhr,"E-Bike, Fussgaenger:in","c(16.3475323875185, 48.19733559788)",16.34753238751846,48.197335597880034
6097936038,2019,9,Wed,90601,Wien,1,Ortsgebiet,4,Dunkelheit,123,Wechseln des Fahrstreifens mit und ohne Kollision - nach links,18 bis 24 Uhr,"Motorfahrrad, Pkw","c(16.3407833375035, 48.1960386678783)",16.340783337503492,48.19603866787826
6097966342,2020,1,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,12 bis 15 Uhr,"Fahrrad, Fussgaenger:in","c(16.3562728175378, 48.2003911778852)",16.356272817537814,48.20039117788515
6097966349,2020,2,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,873,"Fußgänger geht auf Fahrbahn - gleiche Richtung, rechte Fahrbahnseite",12 bis 15 Uhr,"E-Bike, Fussgaenger:in","c(16.3481933675199, 48.1976323578806)",16.348193367519915,48.19763235788056
