REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097721919	16,45276934	48,15755315	2013	1	Fri	91101	Wien	1	Ortsgebiet	2	Tageslicht	852	Fuﬂg‰nger auf Fahrbahn - von links	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097724409	16,43964529	48,26602666	2013	1	Mon	92101	Wien	1	Ortsgebiet	2	Tageslicht	161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	6 bis 9 Uhr	Pkw, Pkw
6097722289	16,3816452	48,16641459	2013	1	Wed	91001	Wien	1	Ortsgebiet	2	Tageslicht	821	beim Rechtsabbiegen - Fg.: gleiche Ann‰herungsrichtung	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097687903	16,31777912	48,20648038	2013	1	Sun	91601	Wien	1	Ortsgebiet	4	Dunkelheit	052	Sturz vom oder im Fahrzeug - Sturz (Verletzung) im Fahrzeug	18 bis 24 Uhr	Bus
6097708373	16,43174618	48,185399	2013	1	Wed	91101	Wien	1	Ortsgebiet	2	Tageslicht	242	Frontalkollision - in einer Kurve	9 bis 12 Uhr	Bus, Pkw
6097687123	16,53617263	48,2474615	2013	1	Thu	92201	Wien	1	Ortsgebiet	2	Tageslicht	891	Sonstige Fuﬂg‰ngerunf‰lle - Sonstige	9 bis 12 Uhr	Fussgaenger:in, Pkw
6097695015	16,2937519	48,18700307	2013	1	Wed	91301	Wien	1	Ortsgebiet	2	Tageslicht	851	Fuﬂg‰nger auf Fahrbahn - von rechts	9 bis 12 Uhr	Fussgaenger:in, Pkw
6097709953	16,38865918	48,18823157	2013	1	Thu	90301	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	15 bis 18 Uhr	Fussgaenger:in, Pkw
6097686091	16,40212655	48,2651482	2013	1	Wed	92101	Wien	1	Ortsgebiet			411	Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen	18 bis 24 Uhr	Pkw, Pkw, Schienenfahrzeug
6097707582	16,39514744	48,18663112	2013	1	Thu	90301	Wien	1	Ortsgebiet	4	Dunkelheit	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	18 bis 24 Uhr	Sonstige, Sonstige, Sonstige
6097691895	16,36698425	48,23472486	2013	1	Tue	92001	Wien	1	Ortsgebiet			824	beim Linksabbiegen - Fg.: gegen Ann‰herungsrichtung	0 bis 6 Uhr	Fussgaenger:in, Pkw
